OBJECTID *,Shape *,GUBID,ISOALPHA,COUNTRYNM,NAME1,NAME2,NAME3,NAME4,NAME5,NAME6,CENTROID_X,CENTROID_Y,INSIDE_X,INSIDE_Y,CONTEXT,CONTEXT_NM,WATER_CODE,TOTAL_A_KM,WATER_A_KM,LAND_A_KM,UN_2000_E,UN_2005_E,UN_2010_E,UN_2015_E,UN_2020_E,UN_2000_DS,UN_2005_DS,UN_2010_DS,UN_2015_DS,UN_2020_DS,B_2010_E,F_2010_E,M_2010_E,A00_04B,A05_09B,A10_14B,A15_19B,A20_24B,A25_29B,A30_34B,A35_39B,A40_44B,A45_49B,A50_54B,A55_59B,A60_64B,A65PLUSB,A65_69B,A70PLUSB,A70_74B,A75PLUSB,A75_79B,A80PLUSB,A80_84B,A85PLUSB,A00_04F,A05_09F,A10_14F,A15_19F,A20_24F,A25_29F,A30_34F,A35_39F,A40_44F,A45_49F,A50_54F,A55_59F,A60_64F,A65PLUSF,A65_69F,A70PLUSF,A70_74F,A75PLUSF,A75_79F,A80PLUSF,A80_84F,A85PLUSF,A00_04M,A05_09M,A10_14M,A15_19M,A20_24M,A25_29M,A30_34M,A35_39M,A40_44M,A45_49M,A50_54M,A55_59M,A60_64M,A65PLUSM,A65_69M,A70PLUSM,A70_74M,A75PLUSM,A75_79M,A80PLUSM,A80_84M,A85PLUSM
1524,Point,{73B4876A-4F70-4C00-8C5C-2C2646FECB1A},NPL,Nepal,EASTERN,SAGARMATHA,SAPTARI,DHANAGADI,NA,NA,86.566602,26.605009,86.566602,26.605009,0,Not applicable,L,6.905355,0,6.905355,4697,5273,5375,5064,4264,680.19671,763.61023,778.381375,733.343866,617.491755,5153.541743,2633.746194,2519.79555,501.382834,743.156375,629.205731,505.346335,388.423065,402.295318,358.69681,323.025304,275.463296,236.819165,186.284531,175.384905,168.448778,259.609294,129.804647,129.804647,86.20614,43.598507,0,0,0,0,240.782666,374.550813,327.97968,263.572794,211.056411,208.083785,200.156784,155.567401,153.585651,113.950644,91.160515,81.251764,84.224389,127.822897,65.397761,62.425136,48.552883,13.872252,0,0,0,0,260.600169,368.605562,301.226051,241.773541,177.366655,194.211533,158.540027,167.457903,121.877646,122.868521,95.124016,94.133141,84.224389,131.786397,64.406886,67.379511,37.653256,29.726255,0,0,0,0
1525,Point,{5B816E84-7E84-434D-A277-A0350F65A51F},NPL,Nepal,WESTERN,GANDAKI,GORKHA,LAPRAK,NA,NA,84.77848,28.284072,84.77848,28.284072,0,Not applicable,L,55.71884,1.068972,54.649868,2008,2065,1928,1664,1284,36.742998,37.786001,35.279134,30.448381,23.495025,1848.620743,1035.349302,813.27144,198.754616,212.951375,256.555704,190.642183,115.602175,112.560012,96.335146,97.3492,68.955683,83.152442,97.3492,60.84325,84.166496,173.403262,62.871358,110.531904,61.857304,48.6746,0,0,0,0,92.278929,100.391362,138.925421,114.588121,87.208658,75.040008,60.84325,55.772979,44.618383,45.632437,56.787033,25.351354,46.646492,91.264875,29.407571,61.857304,35.491896,26.365408,0,0,0,0,106.475687,112.560012,117.630283,76.054062,28.393517,37.520004,35.491896,41.576221,24.3373,37.520004,40.562167,35.491896,37.520004,82.138387,33.463787,48.6746,26.365408,22.309192,0,0,0,0
1526,Point,{386B69F2-9125-422C-B863-BDBC18059098},NPL,Nepal,WESTERN,GANDAKI,KASKI,ARBA VIJAYA,NA,NA,84.04141,28.235345,84.04141,28.235345,0,Not applicable,L,12.810748,0,12.810748,4008,4294,4177,3756,3019,312.862287,335.18729,326.054334,293.191305,235.661488,4005.581333,2186.069242,1819.512092,359.409796,363.493998,472.746408,400.251818,370.641352,304.273066,257.30474,239.946881,201.14696,171.536493,202.16801,161.325988,169.494392,331.841431,100.062955,231.778476,99.041904,132.736572,0,0,0,0,173.578595,171.536493,256.28369,191.957505,218.504819,183.7891,157.241786,132.736572,116.399763,107.210308,121.505016,81.684045,104.147157,169.494392,49.010427,120.483966,49.010427,71.473539,0,0,0,0,185.831201,191.957505,216.462718,208.294314,152.136533,120.483966,100.062955,107.210308,84.747196,64.326185,80.662994,79.641943,65.347236,162.347038,51.052528,111.294511,50.031477,61.263033,0,0,0,0
1527,Point,{606B0B08-ACAD-4DFC-BDFD-C28E9419681E},NPL,Nepal,FAR-WESTERN,SETI,BAJURA,PANDUSAIN,NA,NA,81.610608,29.462586,81.610608,29.462586,0,Not applicable,L,43.650117,0,43.650117,5474,6463,6930,6867,6083,125.406307,148.063749,158.762461,157.319166,139.35816,6644.545965,3302.096239,3342.449726,992.105219,953.720196,902.540164,715.536204,525.57955,468.494131,330.70174,359.244449,262.789775,258.85285,202.751662,172.240489,206.688587,293.300948,139.760854,153.540093,83.659666,69.880427,0,0,0,0,466.525668,472.431057,436.998727,361.212912,274.600552,233.262834,174.208952,184.051266,125.981615,136.80816,94.486211,72.833121,113.186607,155.508556,63.975039,91.533517,50.1958,41.337717,0,0,0,0,525.57955,481.289139,465.541437,354.323292,250.978999,235.231297,156.492788,175.193183,136.80816,122.04469,108.26545,99.407368,93.50198,137.792392,75.785815,62.006576,33.463867,28.54271,0,0,0,0
1528,Point,{CDCDAB98-82C0-4684-83F4-C0744E934A9F},NPL,Nepal,CENTRAL,NARAYANI,BARA,HARIHARPUR,NA,NA,85.117072,26.903332,85.117072,26.903332,0,Not applicable,L,6.208296,0,6.208296,4453,5236,5591,5518,4867,717.266029,843.387588,900.569138,888.810678,783.950991,5360.826546,2579.24707,2781.579475,616.819177,844.688683,758.255422,479.311718,359.483788,335.911081,306.445196,306.445196,317.249354,326.089119,204.296798,148.311618,118.845733,238.673663,110.005968,128.667695,65.807142,62.860553,0,0,0,0,322.160335,390.914065,347.697434,202.332405,176.795306,181.706286,141.436245,161.080167,158.133579,173.848717,78.575691,68.75373,62.860553,112.952556,57.949572,55.002984,24.554904,30.44808,0,0,0,0,294.658843,453.774618,410.557988,276.979312,182.688482,154.204794,165.008952,145.365029,159.115775,152.240402,125.721106,79.557888,55.98518,125.721106,52.056396,73.664711,41.252238,32.412473,0,0,0,0
1529,Point,{3A09AC5B-1A65-4591-BA2E-2E6454487F30},NPL,Nepal,EASTERN,SAGARMATHA,UDAYAPUR,TAPESWORI,NA,NA,86.984917,26.756229,86.984917,26.756229,0,Not applicable,L,62.069341,0,62.069341,5306,5910,5977,5588,4670,85.485038,95.216091,96.295529,90.028344,75.238434,5731.486847,3026.225055,2705.261792,628.968383,743.59812,925.012138,666.846035,398.712128,352.860234,297.040536,300.030877,320.963263,264.146785,219.291671,148.520268,136.558904,328.937506,130.578222,198.359284,90.707009,107.652275,0,0,0,0,296.043755,373.79262,461.509289,375.786181,262.153224,214.307769,172.442996,151.510609,183.407579,122.60398,99.678032,72.764963,71.768183,168.455874,72.764963,95.690911,43.858334,51.832577,0,0,0,0,332.924627,369.805499,463.502849,291.059854,136.558904,138.552465,124.59754,148.520268,137.555684,141.542806,119.613639,75.755304,64.790721,160.481632,57.813259,102.668373,46.848675,55.819698,0,0,0,0
1530,Point,{5F92E171-83A8-44A9-83B1-403783CCDD3A},NPL,Nepal,CENTRAL,JANAKPUR,DHANUSA,BAFAI,NA,NA,86.060021,26.707756,86.060021,26.707756,0,Not applicable,L,2.551578,0,2.551578,2627,2954,3015,2845,2399,1029.558972,1157.714962,1181.621737,1114.996299,940.202503,2891.18585,1510.424377,1380.761472,316.733814,398.886648,437.488581,255.366638,202.9076,198.948427,179.152564,183.111736,117.785387,124.713939,95.020144,125.703733,100.958903,154.407735,83.142626,71.265108,50.479452,20.785657,0,0,0,0,160.346494,190.040289,218.744291,113.826215,124.713939,132.632285,114.816008,99.96911,68.295729,61.367177,51.469245,59.38759,47.510072,67.305936,36.622347,30.683588,20.785657,9.897932,0,0,0,0,156.387321,208.846359,218.744291,141.540423,78.19366,66.316142,64.336556,83.142626,49.489658,63.346763,43.550899,66.316142,53.448831,87.101799,46.520279,40.58152,29.693795,10.887725,0,0,0,0
1531,Point,{76AB0AF8-EA8E-4EF4-B1AB-2BC9C03CFE6E},NPL,Nepal,CENTRAL,JANAKPUR,RAMECHHAP,GUPTESHWOR,NA,NA,86.250526,27.520425,86.250526,27.520425,0,Not applicable,L,24.252223,0,24.252223,3281,3398,3195,2777,2158,135.286569,140.110869,131.740503,114.504969,88.981535,3063.784364,1647.630654,1416.15371,229.455312,320.428784,444.759195,403.315725,200.141638,179.925311,134.438575,162.741433,162.741433,161.730616,189.022658,125.341228,130.395309,219.347148,89.962655,129.384493,59.638165,69.746328,0,0,0,0,115.233064,160.7198,211.260618,233.498577,120.287146,103.103268,78.843675,92.995104,97.03837,83.897757,98.049186,72.778777,63.68143,116.243881,48.519185,67.724696,28.302858,39.421838,0,0,0,0,114.222248,159.708984,233.498577,169.817147,79.854492,76.822043,55.594899,69.746328,65.703063,77.832859,90.973472,52.56245,66.713879,103.103268,41.44347,61.659797,31.335307,30.324491,0,0,0,0
1532,Point,{068D2DDA-1229-4542-AF98-0C449D43D162},NPL,Nepal,EASTERN,KOSHI,SUNSARI,HARINAGARA,NA,NA,87.120641,26.503738,87.120641,26.503738,0,Not applicable,L,6.532445,0,6.532445,939,2651,6796,16103,34103,143.744043,405.820508,1040.345595,2465.08021,5220.557065,6516.410825,3250.705707,3265.705118,700.805819,898.298065,940.796397,660.807389,447.482431,433.316321,428.316517,433.316321,336.653449,286.655412,233.324173,212.491657,192.492443,311.654431,126.661694,184.992737,99.996074,84.996663,0,0,0,0,327.487142,440.816026,473.31475,304.988026,236.657375,244.990381,234.157473,230.824271,159.160418,139.994504,108.32908,111.662283,89.996467,148.32751,54.997841,93.329669,49.998037,43.331632,0,0,0,0,373.318676,457.482039,467.481646,355.819363,210.825056,188.325939,194.159044,202.49205,177.493031,146.660909,124.995093,100.829375,102.495976,163.326921,71.663853,91.663068,49.998037,41.665031,0,0,0,0
1533,Point,{9B0A83E2-5BFA-4300-AE03-26D2D9019C91},NPL,Nepal,MID-WESTERN,RAPTI,SALYAN,CHANDE,NA,NA,82.144189,28.482055,82.144189,28.482055,0,Not applicable,L,42.991372,0,42.991372,4665,5271,5408,5128,4347,108.510144,122.605995,125.792681,119.279747,101.113311,5185.42461,2733.340703,2452.083906,685.315857,859.615844,799.205053,525.870983,410.991446,363.455086,260.459639,261.44998,218.865324,181.232373,178.26135,161.425556,153.502829,125.773286,63.381813,62.391473,34.661929,27.729543,0,0,0,0,340.677247,424.856218,394.155652,294.131228,244.614186,227.778392,142.60908,153.502829,123.792604,82.198289,84.178971,79.227267,85.169312,56.449428,25.748862,30.700566,12.874431,17.826135,0,0,0,0,344.63861,434.759626,405.049401,231.739755,166.37726,135.676694,117.850559,107.947151,95.07272,99.034083,94.082379,82.198289,68.333518,69.323858,37.632952,31.690907,21.787498,9.903408,0,0,0,0
